pattern,count,share_pct
/<locale>/customers/*,113,28.3
/<locale>/guides/*,33,8.3
/<locale>/sessions/*,28,7.0
/<locale>/newsroom/*,24,6.0
/<locale>/payments/*,21,5.3
/jobs/*,21,5.3
/<locale>/use-cases/*,15,3.8
/<locale>/industries/*,9,2.3
/resources/*,8,2.0
/<locale>/connect/*,8,2.0
/<locale>/legal/*,7,1.8
/<locale>/resources/*,6,1.5
/<locale>/jobs/*,6,1.5
/<locale>/terminal/*,5,1.3
/customers/*,5,1.3
/<locale>/capital/*,5,1.3
/<locale>/pricing,5,1.3
/<locale>/payment-method/*,5,1.3
/<locale>/invoicing/*,4,1.0
/<locale>/cookie-settings,4,1.0
/<locale>/contact/*,4,1.0
/<locale>/billing/*,4,1.0
/<locale>/support-plans,4,1.0
TOTAL_SHOWN,344,86.2
OTHER_PATTERNS,55,13.8
